,timestamps,mem,cpu,disk,clustername
244,1584348119999,119228376,12481,778726528,AMS01-TVPP1-CloudCenter-Cluster
245,1584348719999,119235064,12434,778878080,AMS01-TVPP1-CloudCenter-Cluster
246,1584349019999,119234464,12336,778878080,AMS01-TVPP1-CloudCenter-Cluster
247,1584349319999,119236872,12453,778878080,AMS01-TVPP1-CloudCenter-Cluster
248,1584349619999,119241472,12914,778878080,AMS01-TVPP1-CloudCenter-Cluster
249,1584349919999,119236264,12873,778878080,AMS01-TVPP1-CloudCenter-Cluster
250,1584350219999,119242208,12746,779089024,AMS01-TVPP1-CloudCenter-Cluster
251,1584350519999,119243592,12721,779089024,AMS01-TVPP1-CloudCenter-Cluster
252,1584350819999,119263360,12552,779089024,AMS01-TVPP1-CloudCenter-Cluster
253,1584351119999,119337992,12636,779089024,AMS01-TVPP1-CloudCenter-Cluster
254,1584351419999,119412672,13383,779089024,AMS01-TVPP1-CloudCenter-Cluster
255,1584351719999,119419544,13077,779089024,AMS01-TVPP1-CloudCenter-Cluster
256,1584352019999,119423264,12718,779380864,AMS01-TVPP1-CloudCenter-Cluster
257,1584352319999,119442688,12993,779380864,AMS01-TVPP1-CloudCenter-Cluster
258,1584352619999,119508192,12862,779380864,AMS01-TVPP1-CloudCenter-Cluster
259,1584352919999,119576352,12676,779380864,AMS01-TVPP1-CloudCenter-Cluster
260,1584353219999,119692832,13920,779380864,AMS01-TVPP1-CloudCenter-Cluster
261,1584353519999,119702264,14108,779380864,AMS01-TVPP1-CloudCenter-Cluster
262,1584353819999,119805832,13259,779510912,AMS01-TVPP1-CloudCenter-Cluster
263,1584354119999,119957752,13902,779510912,AMS01-TVPP1-CloudCenter-Cluster
264,1584354419999,120108616,13326,779510912,AMS01-TVPP1-CloudCenter-Cluster
265,1584354719999,120203240,13243,779510912,AMS01-TVPP1-CloudCenter-Cluster
266,1584355019999,120368432,13969,779510912,AMS01-TVPP1-CloudCenter-Cluster
267,1584355319999,120380256,13122,779510912,AMS01-TVPP1-CloudCenter-Cluster
268,1584355619999,120377576,12945,780190848,AMS01-TVPP1-CloudCenter-Cluster
269,1584355919999,120381520,13071,780190848,AMS01-TVPP1-CloudCenter-Cluster
270,1584356219999,120383864,12948,780190848,AMS01-TVPP1-CloudCenter-Cluster
271,1584356519999,120386376,12698,780294848,AMS01-TVPP1-CloudCenter-Cluster
272,1584356819999,120389680,13227,780294848,AMS01-TVPP1-CloudCenter-Cluster
273,1584357119999,120386352,12819,780294848,AMS01-TVPP1-CloudCenter-Cluster
274,1584357419999,120384056,12517,780789440,AMS01-TVPP1-CloudCenter-Cluster
275,1584357719999,120387496,12801,780789440,AMS01-TVPP1-CloudCenter-Cluster
276,1584358019999,120389040,12604,780789440,AMS01-TVPP1-CloudCenter-Cluster
277,1584358319999,120389488,12430,780789440,AMS01-TVPP1-CloudCenter-Cluster
278,1584358619999,120382920,12800,780789440,AMS01-TVPP1-CloudCenter-Cluster
279,1584358919999,120383480,12582,780789440,AMS01-TVPP1-CloudCenter-Cluster
280,1584359219999,120384448,12360,781019840,AMS01-TVPP1-CloudCenter-Cluster
281,1584359519999,120386752,12574,781019840,AMS01-TVPP1-CloudCenter-Cluster
282,1584359819999,120385136,12394,781019840,AMS01-TVPP1-CloudCenter-Cluster
283,1584360119999,120384872,12366,781019840,AMS01-TVPP1-CloudCenter-Cluster
284,1584360419999,120385168,12980,781019840,AMS01-TVPP1-CloudCenter-Cluster
285,1584360719999,120379992,12618,781019840,AMS01-TVPP1-CloudCenter-Cluster
286,1584361019999,120379176,12579,781230784,AMS01-TVPP1-CloudCenter-Cluster
287,1584361319999,120381456,12554,781230784,AMS01-TVPP1-CloudCenter-Cluster
288,1584361619999,120383264,12375,781230784,AMS01-TVPP1-CloudCenter-Cluster
289,1584361919999,120386152,12574,781230784,AMS01-TVPP1-CloudCenter-Cluster
290,1584362219999,120388600,12768,781230784,AMS01-TVPP1-CloudCenter-Cluster
291,1584362519999,120391360,12447,781230784,AMS01-TVPP1-CloudCenter-Cluster
292,1584362819999,120388792,12479,781352640,AMS01-TVPP1-CloudCenter-Cluster
293,1584363119999,120388608,12598,781352640,AMS01-TVPP1-CloudCenter-Cluster
294,1584363419999,120387784,12436,781352640,AMS01-TVPP1-CloudCenter-Cluster
295,1584363719999,120393232,12397,781352640,AMS01-TVPP1-CloudCenter-Cluster
296,1584364019999,120392288,13119,781352640,AMS01-TVPP1-CloudCenter-Cluster
297,1584364319999,120394392,12535,781352640,AMS01-TVPP1-CloudCenter-Cluster
298,1584364619999,120389824,12556,781352640,AMS01-TVPP1-CloudCenter-Cluster
299,1584364919999,120389656,12732,781352640,AMS01-TVPP1-CloudCenter-Cluster
300,1584365219999,120386720,12307,781352640,AMS01-TVPP1-CloudCenter-Cluster
301,1584365519999,120390480,12670,781352640,AMS01-TVPP1-CloudCenter-Cluster
302,1584365819999,120381384,12938,781352640,AMS01-TVPP1-CloudCenter-Cluster
303,1584366119999,120385904,12262,781352640,AMS01-TVPP1-CloudCenter-Cluster
304,1584366419999,120387696,12507,781388480,AMS01-TVPP1-CloudCenter-Cluster
305,1584366719999,120390920,12769,781388480,AMS01-TVPP1-CloudCenter-Cluster
306,1584367019999,120388632,12221,781388480,AMS01-TVPP1-CloudCenter-Cluster
307,1584367319999,120388960,12544,781388480,AMS01-TVPP1-CloudCenter-Cluster
